ID,Name,Source
abyanei,Abyanei,Agnes Korn (Iranian [Indo-European])
africanamericanvernacularenglish,African-American Vernacular English,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
aghul,Aghul,Timur Maisak (Lezgic [Northeast Caucasian])
angolar,Angolar,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
archi,Archi,Timur Maisak (Lezgic (Northeast Caucasian))
awadhi,Awadhi,Annie Montaut (Indo-Aryan [Indo-European])
ayacuchoquechua,Ayacucho Quechua,Willem F. H. Adelaar (Quechua and Aymara)
bactrian,Bactrian,Agnes Korn (Iranian [Indo-European])
balantak,Balantak,Nikolaus P. Himmelmann (Malayo-Polynesian [Austronesian] & Mori [Yareban])
balochi,Balochi,Agnes Korn (Iranian [Indo-European])
balochieastern,Balochi (Eastern),Agnes Korn (Iranian [Indo-European])
balochiwestern,Balochi (Western),Agnes Korn (Iranian [Indo-European])
bambara,Bambara,"Denis Creissels (Manding [Mande, Niger-Congo])"
bardi,Bardi,"William B. McGregor (Nyulnyulan [non-Pama-Nyungan, Australian])"
bataviacreole,Batavia Creole,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
beja,Beja,"Martine Vanhove (Beja [Cushitic, Afroasiatic])"
bhojpuri,Bhojpuri,Annie Montaut (Indo-Aryan [Indo-European))
bislama,Bislama,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
bolivianquechua,Bolivian Quechua,Willem F. H. Adelaar (Quechua and Aymara)
brazilianportuguese,Brazilian Portuguese,Michela Cennamo (Romance [Indo-European])
budugh,Budugh,Timur Maisak (Lezgic [Northeast Caucasian])
bulgarian,Bulgarian,Björn Wiemer (Slavic [Indo-European])
catalan,Catalan,Michela Cennamo (Romance [Indo-European])
cherokee,Cherokee,Marianne Mithun (Iroquoian)
chorasmian,Chorasmian,Agnes Korn (Iranian [Indo-European])
creolese,Creolese,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
croatianserbian,Croatian/Serbian,Björn Wiemer (Slavic [Indo-European])
czech,Czech,Björn Wiemer (Slavic [Indo-European])
dakhinihindi,Dakhini Hindi,Annie Montaut (Indo-Aryan [Indo-European))
diuindoportuguese,Diu Indo-Portuguese,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
earlyjudeopersian,Early Judeo-Persian,Agnes Korn (Iranian [Indo-European])
earlysranan,Early Sranan,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
eastkhantic,East Khantic,Juha Janhunen (Uralic)
ecuadorianquichua,Ecuadorian Quichua,Willem F. H. Adelaar (Quechua and Aymara)
emai,Emai,"Ronald P. Schaefer & Francis O. Egbokhare (Emai [Edoid, Niger-Congo])"
estonian,Estonian,Juha Janhunen (Uralic)
even,Even,"Andrej Malchukov (Tungusic [Manchu-Tungusic, Transeurasian])"
evenki,Evenki,"Andrej Malchukov (Tungusic [Manchu-Tungusic, Transeurasian])"
finnish,Finnish,Juha Janhunen (Uralic)
french,French,Michela Cennamo (Romance [Indo-European])
garhwali,Garhwali,Annie Montaut (Indo-Aryan [Indo-European))
german,German,Luise Kempf & Damaris Nübling (German [Indo-European])
guadelopeancreole,Guadeloupean Creole,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
guineabissaukriyol,Guinea-Bissau Kriyol,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
guyanais,Guyanais,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
haitiancreole,Haitian Creole,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
hindi,Hindi,Annie Montaut (Indo-Aryan [Indo-European))
hoocak,Hoocąk,Johannes Helmbrecht (Hoocąk [Core Siouan])
huanca,Huanca,Willem F. H. Adelaar (Quechua and Aymara)
hungarian,Hungarian,Juha Janhunen (Uralic)
italian,Italian,Michela Cennamo (Romance [Indo-European])
jamaican,Jamaican,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
japhug,Japhug,"Guillaume Jacques (Japhug [Rgyalrong, Sino-Tibetan])"
jubaarabic,Juba Arabic,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
jula,Jula,"Denis Creissels (Manding [Mande, Niger-Congo])"
ket,Ket,Edward Vajda (Yeniseian)
khmer,Khmer,Walter Bisang (Khmer [Austroasiatic])
kitamaninka,Kita Maninka,"Denis Creissels (Manding [Mande, Niger-Congo])"
korean,Korean,Seongha Rhee (Korean)
kott,Kott,Edward Vajda (Yeniseian)
koyaga,Koyaga,"Denis Creissels (Manding [Mande, Niger-Congo])"
kryz,Kryz,Timur Maisak (Lezgic [Northeast Caucasian])
kurdishkurmanji,Kurdish (Kurmanji),Agnes Korn (Iranian [Indo-European])
kurdishsorani,Kurdish (Sorani),Agnes Korn (Iranian [Indo-European])
lezgian,Lezgian,Timur Maisak (Lezgic [Northeast Caucasian])
lowersorbian,Lower Sorbian,Björn Wiemer (Slavic [Indo-European])
luri,Luri,Agnes Korn (Iranian [Indo-European])
macedonian,Macedonian,Björn Wiemer (Slavic [Indo-European])
makassarese,Makassarese,Nikolaus P. Himmelmann (Malayo-Polynesian [Austronesian] & Mori [Yareban])
manchu,Manchu,"Andrej Malchukov (Tungusic [Manchu-Tungusic, Transeurasian])"
mandarin,Mandarin,"Linlin Sun & Walter Bisang (Chinese [Sinitic, Sino-Tibetan])"
mandinka,Mandinka,"Denis Creissels (Manding [Mande, Niger-Congo])"
maninkamori,Maninka-mori,"Denis Creissels (Manding [Mande, Niger-Congo])"
mauritiancreole,Mauritian Creole,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
mian,Mian,Sebastian Fedden (Mian [Papua New Guinea])
middlepersian,Middle Persian,Agnes Korn (Iranian [Indo-European])
mohawk,Mohawk,Marianne Mithun (Iroquoian)
mori,Mori,Nikolaus P. Himmelmann (Malayo-Polynesian [Austronesian] & Mori [Yareban])
nanai,Nanai,"Andrej Malchukov (Tungusic [Manchu-Tungusic, Transeurasian])"
negerhollands,Negerhollands,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
newpersian,New Persian,Agnes Korn (Iranian [Indo-European])
newpersianafghan,New Persian (Afghan),Agnes Korn (Iranian [Indo-European])
northjuninquechua,North Junín Quechua,Willem F. H. Adelaar (Quechua and Aymara)
nyigina,Nyigina,"William B. McGregor (Nyulnyulan [non-Pama-Nyungan, Australian])"
nyulnyul,Nyulnyul,"William B. McGregor (Nyulnyulan [non-Pama-Nyungan, Australian])"
ossetic,Ossetic,Agnes Korn (Iranian [Indo-European])
pacaraosquechua,Pacaraos Quechua,Willem F. H. Adelaar (Quechua and Aymara)
palenquero,Palenquero,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
parthian,Parthian,Agnes Korn (Iranian [Indo-European])
pashto,Pashto,Agnes Korn (Iranian [Indo-European])
persian,Persian,Agnes Korn (Iranian [Indo-European])
pimabajo,Pima Bajo,Zarina Estrada-Fernández (Southern Uto-Aztecan)
polish,Polish,Björn Wiemer (Slavic [Indo-European])
principense,Principense,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
quechuai,Quechua I,Willem F. H. Adelaar (Quechua and Aymara)
quechuaii,Quechua II,Willem F. H. Adelaar (Quechua and Aymara)
ratahan,Ratahan,Nikolaus P. Himmelmann (Malayo-Polynesian [Austronesian] & Mori [Yareban])
romanian,Romanian,Michela Cennamo (Romance [Indo-European])
romansh,Romansh,Michela Cennamo (Romance [Indo-European])
russian,Russian,Björn Wiemer (Slavic [Indo-European])
rutul,Rutul,Timur Maisak (Lezgic [Northeast Caucasian])
semnani,Semnani,Agnes Korn (Iranian [Indo-European])
seychellescreole,Seychelles Creole,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
slovak,Slovak,Björn Wiemer (Slavic [Indo-European])
sogdian,Sogdian,Agnes Korn (Iranian [Indo-European])
sogdianmanichean,Sogdian (Manichean),Agnes Korn (Iranian [Indo-European])
solomonislandspijin,Solomon Islands Pijin,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
southernaymara,Southern Aymara,Willem F. H. Adelaar (Quechua and Aymara)
spanish,Spanish,Michela Cennamo (Romance [Indo-European])
sranan,Sranan,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
srilankaportugese,Sri Lanka Portugese,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
tabasaran,Tabasaran,Timur Maisak (Lezgic [Northeast Caucasian])
tajio,Tajio,Nikolaus P. Himmelmann (Malayo-Polynesian [Austronesian] & Mori [Yareban])
talyshi,Talyshi,Agnes Korn (Iranian [Indo-European])
tatjewish,Tat (Jewish),Agnes Korn (Iranian [Indo-European])
tatmuslim,Tat (Muslim),Agnes Korn (Iranian [Indo-European])
ternatechabacano,Ternate Chabacano,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
thai,Thai,Walter Bisang (Thai)
tokpisin,Tok Pisin,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
tsakhur,Tsakhur,Timur Maisak (Lezgic [Northeast Caucasian])
tswana,Tswana,"Denis Creissels (Tswana [Bantu, Niger-Congo])"
tundranenets,Tundra Nenets,Juha Janhunen (Uralic)
tuscarora,Tuscarora,Marianne Mithun (Iroquoian)
udi,Udi,Timur Maisak (Lezgic [Northeast Caucasian])
uppersorbian,Upper Sorbian,Björn Wiemer (Slavic [Indo-European])
veps,Veps,Juha Janhunen (Uralic)
vincentiancreole,Vincentian Creole,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
wakhi,Wakhi,Agnes Korn (Iranian [Indo-European])
warrwa,Warrwa,"William B. McGregor (Nyulnyulan [non-Pama-Nyungan, Australian])"
xufipamir,Xufi (Pamir),Agnes Korn (Iranian [Indo-European])
yaghnobi,Yaghnobi,Agnes Korn (Iranian [Indo-European])
yaqui,Yaqui,Zarina Estrada-Fernández (Southern Uto-Aztecan)
yawuru,Yawuru,"William B. McGregor (Nyulnyulan [non-Pama-Nyungan, Australian])"
yucatec,Yucatec,Christian Lehmann (Yucatecan [Mayan])
zazaki,Zazaki,Agnes Korn (Iranian [Indo-European])
